id	category
I25.1	I00-I99
I20	I00-I99
I21	I00-I99
K70.3	K00-K95
K76.6	K00-K95
I46	I00-I99
A17	A00-B99
G03	G00-G99
I10	I00-I99
N18.9	N00-N99
A15	A00-B99
B44	A00-B99
G96.0	G00-G99
D13.7	C00-D49
E16.1	E00-E89
H66.9	H60-H95
H70.9	H60-H95
E28.3	E00-E89
N91.1	N00-N99
B57	A00-B99
I42.0	I00-I99
H35.1	H00-H59
H54	H00-H59
I78.0	I00-I99
I77.0	I00-I99
I51.9	I00-I99
E71	E00-E89
N08	N00-N99
K00.1	K00-K95
K09.0	K00-K95
I86.1	I00-I99
N46	N00-N99
J12.9	J00-J99
J96.0	J00-J99
C90.0	C00-D49
N17.9	N00-N99
J15.9	J00-J99
C18.0	C00-D49
K56.1	K00-K95
I51.7	I00-I99
J94.8	J00-J99
E74	E00-E89
I51.4	I00-I99
F10.1	F01-F99
E44	E00-E89
Q87.4	Q00-Q99
I72	I00-I99
I15.0	I00-I99
I47.2	I00-I99
E06.1	E00-E89
E05.9	E00-E89
E41	E00-E89
K73.9	K00-K95
K81	K00-K95
I63	I00-I99
I67.9	I00-I99
N19	N00-N99
N17.0	N00-N99
E87.2	E00-E89
I50.9	I00-I99
K85	K00-K95
D73.5	C00-D49
H02.1	H00-H59
H04.2	H00-H59
I70	I00-I99
I22	I00-I99
G00	G00-G99
G91	G00-G99
G20	G00-G99
G24	G00-G99
J18.0	J00-J99
E11	E00-E89
K22.0	K00-K95
J69.0	J00-J99
N23	N00-N99
N13.9	N00-N99
E46	E00-E89
M34	M00-M99
I73.0	I00-I99
K76.9	K00-K95
G93.9	G00-G99
J45	J00-J99
K26	K00-K95
K31.1	K00-K95
N03	N00-N99
E87.7	E00-E89
H34.1	H00-H59
D65	C00-D49
D69.6	C00-D49
D64.9	C00-D49
N40	N00-N99
N32.0	N00-N99
C22.0	C00-D49
E16.2	E00-E89
I33.0	I00-I99
I73.9	I00-I99
K76.7	K00-K95
G62.9	G00-G99
G12.2	G00-G99
H26	H00-H59
H40	H00-H59
A16	A00-B99
J98.4	J00-J99
Q23.1	Q00-Q99
Q25.1	Q00-Q99
H18.6	H00-H59
H52.1	H00-H59
K90.0	K00-K95
D73.0	C00-D49
E10	E00-E89
I12	I00-I99
N12	N00-N99
I50.1	I00-I99
M32.9	M00-M99
I15	I00-I99
I71.9	I00-I99
I42	I00-I99
I47.1	I00-I99
N28.9	N00-N99
E87.5	E00-E89
J84.9	J00-J99
I26	I00-I99
E03.9	E00-E89
E78.5	E00-E89
I11	I00-I99
M32	M00-M99
E78	E00-E89
C61	C00-D49
H50.8	H00-H59
H53.2	H00-H59
I31.3	I00-I99
A48.1	A00-B99
J17	J00-J99
E55	E00-E89
E21.3	E00-E89
D45	C00-D49
J81	J00-J99
N20.0	N00-N99
E13	E00-E89
D86	C00-D49
I05.1	I00-I99
J94.2	J00-J99
N20	N00-N99
K29.7	K00-K95
K92.0	K00-K95
E85	E00-E89
G35	G00-G99
I25.3	I00-I99
I82.0	I00-I99
E06.0	E00-E89
M34.0	M00-M99
E20	E00-E89
I81	I00-I99
I25.5	I00-I99
B34.9	A00-B99
I42.6	I00-I99
E66.9	E00-E89
E53.8	E00-E89
I95.1	I00-I99
E23.0	E00-E89
K21.9	K00-K95
K22.7	K00-K95
N10	N00-N99
H20.9	H00-H59
I25.2	I00-I99
C18.9	C00-D49
K52.9	K00-K95
D50	C00-D49
E05.0	E00-E89
J44.9	J00-J99
E06.3	E00-E89
N03.2	N00-N99
N04	N00-N99
D59.3	C00-D49
N11	N00-N99
E74.0	E00-E89
H49.0	H00-H59
H50.1	H00-H59
D58.2	C00-D49
J47	J00-J99
I44.3	I00-I99
I45.2	I00-I99
D69.3	C00-D49
E86	E00-E89
E85.3	E00-E89
B80	A00-B99
N80	N00-N99
I72.9	I00-I99
E87	E00-E89
N16	N00-N99
M31.3	M00-M99
N01	N00-N99
N21	N00-N99
M31.1	M00-M99
B27	A00-B99
N13.7	N00-N99
E83	E00-E89
K86.3	K00-K95
G51.0	G00-G99
K70	K00-K95
Q21.3	Q00-Q99
Q24.9	Q00-Q99
E88	E00-E89
C50	C00-D49
N83.2	N00-N99
E26	E00-E89
E87.6	E00-E89
K72.1	K00-K95
B59	A00-B99
B20	A00-B99
D56.1	C00-D49
D57	C00-D49
G90.4	G00-G99
D58	C00-D49
I06.1	I00-I99
K50	K00-K95
H53.4	H00-H59
J16	J00-J99
C72.9	C00-D49
J32.3	J00-J99
I40	I00-I99
J14	J00-J99
J93.1	J00-J99
E75	E00-E89
G80	G00-G99
G91.1	G00-G99
Q79.6	Q00-Q99
G93.2	G00-G99
D73.1	C00-D49
B50	A00-B99
J80	J00-J99
N83.6	N00-N99
D51.0	C00-D49
D53.1	C00-D49
E88.3	E00-E89
K37	K00-K95
K56.0	K00-K95
K55.9	K00-K95
Q76.5	Q00-Q99
I87.1	I00-I99
I45.6	I00-I99
D69.1	C00-D49
A18.1	A00-B99
M30.3	M00-M99
M33	M00-M99
H43.0	H00-H59
C93.1	C00-D49
G54.5	G00-G99
J13	J00-J99
K51	K00-K95
M24.6	M00-M99
I33.9	I00-I99
H49	H00-H59
I77.6	I00-I99
O14	O00-O9A
I71	I00-I99
K92.1	K00-K95
J86	J00-J99
N73.9	N00-N99
N70	N00-N99
L93	L00-L99
G93.6	G00-G99
I65.0	I00-I99
I31.1	I00-I99
T78.2	S00-T88
I77.1	I00-I99
M75.0	M00-M99
C34.3	C00-D49
C85.9	C00-D49
N17	N00-N99
C81	C00-D49
D72.1	C00-D49
J18	J00-J99
H66.3	H60-H95
H90.5	H60-H95
H51.2	H00-H59
C25.2	C00-D49
K83.0	K00-K95
N11.1	N00-N99
E24	E00-E89
M10	M00-M99
G56.0	G00-G99
K85.9	K00-K95
H26.1	H00-H59
G21	G00-G99
K83.1	K00-K95
K74.5	K00-K95
H49.1	H00-H59
H50.2	H00-H59
E51	E00-E89
K29.6	K00-K95
C16.6	C00-D49
G71.0	G00-G99
E27.1	E00-E89
H27.0	H00-H59
H16.0	H00-H59
G93.0	G00-G99
H20.1	H00-H59
C71	C00-D49
H02.4	H00-H59
N18	N00-N99
I87.2	I00-I99
C55	C00-D49
L23	L00-L99
L40	L00-L99
E80	E00-E89
N32.9	N00-N99
D25	C00-D49
C53	C00-D49
N28.0	N00-N99
J43	J00-J99
J12	J00-J99
A80	A00-B99
M41	M00-M99
J86.9	J00-J99
R41.3	R00-R99
J10	J00-J99
I05.0	I00-I99
G47.0	G00-G99
R80	R00-R99
Q61.4	Q00-Q99
H21.0	H00-H59
J86.0	J00-J99
J11.1	J00-J99
I80.0	I00-I99
I21.4	I00-I99
M30.0	M00-M99
N20.1	N00-N99
B02	A00-B99
I07.1	I00-I99
I47	I00-I99
J15	J00-J99
R73.9	R00-R99
A18	A00-B99
D18.0	C00-D49
I45.9	I00-I99
A19	A00-B99
J43.8	J00-J99
O20.0	O00-O9A
C67	C00-D49
M19.90	M00-M99
B00.9	A00-B99
E28	E00-E89
J43.9	J00-J99
D03	C00-D49
C44	C00-D49
M45	M00-M99
J85.2	J00-J99
D75.1	C00-D49
H92.1	H60-H95
D04	C00-D49
H57.1	H00-H59
G24.5	G00-G99
D05	C00-D49
D47.2	C00-D49
K44	K00-K95
I20.0	I00-I99
F50	F01-F99
Q18.5	Q00-Q99
M35.0	M00-M99
K11.2	K00-K95
E73	E00-E89
D07	C00-D49
G25.5	G00-G99
G10	G00-G99
I20.1	I00-I99
M41.9	M00-M99
M31.0	M00-M99
G43	G00-G99
E66	E00-E89
O24.4	O00-O9A
C15.5	C00-D49
J11	J00-J99
N21.0	N00-N99
N32.1	N00-N99
H40.2	H00-H59
G45.3	G00-G99
K59.0	K00-K95
D09	C00-D49
F50.0	F01-F99
E43	E00-E89
C75.0	C00-D49
H47.1	H00-H59
Q23.3	Q00-Q99
I86.4	I00-I99
H30.9	H00-H59
E55.0	E00-E89
M21.06	M00-M99
L51	L00-L99
H83.1	H60-H95
K92.9	K00-K95
D56	C00-D49
J15.7	J00-J99
D59	C00-D49
M41.4	M00-M99
F20	F01-F99
F43.1	F01-F99
K74.0	K00-K95
M79.3	M00-M99
K29.4	K00-K95
E16.4	E00-E89
H15.0	H00-H59
L89	L00-L99
Q44.4	Q00-Q99
D69.2	C00-D49
N80.1	N00-N99
C56	C00-D49
H52.7	H00-H59
D69.0	C00-D49
G45.0	G00-G99
I40.1	I00-I99
M33.2	M00-M99
C72.0	C00-D49
G36.0	G00-G99
G82.2	G00-G99
C92.0	C00-D49
M67.4	M00-M99
G57.5	G00-G99
E12	E00-E89
C84.0	C00-D49
M00	M00-M99
A48.3	A00-B99
Q13.0	Q00-Q99
H33.2	H00-H59
H93.1	H60-H95
E72	E00-E89
C18	C00-D49
D73.3	C00-D49
E79	E00-E89
N80.0	N00-N99
C54.1	C00-D49
M06.9	M00-M99
E87.3	E00-E89
G12.9	G00-G99
G82.5	G00-G99
B65	A00-B99
B55.0	A00-B99
Q43.0	Q00-Q99
K45	K00-K95
D89.1	C00-D49
C22.9	C00-D49
C18.4	C00-D49
E23.2	E00-E89
I65.1	I00-I99
B58	A00-B99
R82.1	R00-R99
D01	C00-D49
Q15.0	Q00-Q99
K31.5	K00-K95
G00.2	G00-G99
G25.2	G00-G99
K83.3	K00-K95
J00	J00-J99
G54.0	G00-G99
I67.4	I00-I99
M35.2	M00-M99
M31.4	M00-M99
C76.1	C00-D49
H35.5	H00-H59
G25.3	G00-G99
K13.0	K00-K95
F41.9	F01-F99
H43.1	H00-H59
G30	G00-G99
H02.2	H00-H59
H71	H60-H95
I51.5	I00-I99
Q05	Q00-Q99
D61.9	C00-D49
Q12.0	Q00-Q99
D75.9	C00-D49
N94.5	N00-N99
G50.0	G00-G99
H44.2	H00-H59
C75.9	C00-D49
N13.6	N00-N99
E26.1	E00-E89
H52.2	H00-H59
H40.1	H00-H59
D47.1	C00-D49
L43	L00-L99
K05.1	K00-K95
O00.1	O00-O9A
D24	C00-D49
M14.6	M00-M99
M94.1	M00-M99
Q32.0	Q00-Q99
H33.0	H00-H59
C91.4	C00-D49
D70	C00-D49
H35.6	H00-H59
H46	H00-H59
H25	H00-H59
H49.2	H00-H59
H50.0	H00-H59
Q61.3	Q00-Q99
K46	K00-K95
K43	K00-K95
J43.2	J00-J99
K90	K00-K95
K56.2	K00-K95
I89.8	I00-I99
T79.6	S00-T88
G57.3	G00-G99
M21.37	M00-M99
H35.9	H00-H59
Q54	Q00-Q99
N36.0	N00-N99
E04.9	E00-E89
J32	J00-J99
A69.2	A00-B99
H35.2	H00-H59
H21.1	H00-H59
H81.0	H60-H95
E88.9	E00-E89
M81.0	M00-M99
K29.8	K00-K95
M24.7	M00-M99
H16	H00-H59
H44	H00-H59
J42	J00-J99
C96.6	C00-D49
H60	H60-H95
H18.9	H00-H59
E70	E00-E89
M54.3	M00-M99
M47	M00-M99
M54.1	M00-M99
H18.1	H00-H59
C18.7	C00-D49
E21.0	E00-E89
I49.5	I00-I99
E22.1	E00-E89
B01.9	A00-B99
K42	K00-K95
C49	C00-D49
N81.6	N00-N99
D84.1	C00-D49
T78.3	S00-T88
H47.2	H00-H59
E28.2	E00-E89
L68.0	L00-L99
I27.0	I00-I99
E22.2	E00-E89
T79.5	S00-T88
G72.9	G00-G99
Q21.0	Q00-Q99
E84	E00-E89
R73	R00-R99
J35.2	J00-J99
E76	E00-E89
G95.9	G00-G99
D47.3	C00-D49
G60.0	G00-G99
M43.1	M00-M99
M54.5	M00-M99
G31.9	G00-G99
A02.0	A00-B99
E06	E00-E89
M77.4	M00-M99
K20	K00-K95
M89.9	M00-M99
F33.9	F01-F99
F32	F01-F99
F31	F01-F99
B45	A00-B99
B49	A00-B99
L50	L00-L99
N62	N00-N99
D56.3	C00-D49
L41	L00-L99
H26.2	H00-H59
G47	G00-G99
G45.9	G00-G99
L30.9	L00-L99
D68.0	C00-D49
G47.3	G00-G99
K82.3	K00-K95
K56.3	K00-K95
I42.5	I00-I99
C88.0	C00-D49
C24.9	C00-D49
B35.1	A00-B99
L60.3	L00-L99
C22.1	C00-D49
E51.2	E00-E89
D56.0	C00-D49
D66	C00-D49
M25.0	M00-M99
B05	A00-B99
N85.0	N00-N99
K50.1	K00-K95
L88	L00-L99
L60.1	L00-L99
C92.4	C00-D49
B08.1	A00-B99
B30	A00-B99
E45	E00-E89
C74.0	C00-D49
A70	A00-B99
K27	K00-K95
M05.0	M00-M99
G96.9	G00-G99
L51.1	L00-L99
M60	M00-M99
D83	C00-D49
N30.1	N00-N99
J67.9	J00-J99
B01.0	A00-B99
D52.0	C00-D49
L03.0	L00-L99
I25.6	I00-I99
J09	J00-J99
T79.0	S00-T88
E16.9	E00-E89
Q78.2	Q00-Q99
E78.3	E00-E89
S12.1	S00-T88
O41.0	O00-O9A
C92.3	C00-D49
L44.0	L00-L99
I65.9	I00-I99
Q13.1	Q00-Q99
N85.7	N00-N99
R73.0	R00-R99
K22.9	K00-K95
H31.4	H00-H59
J61	J00-J99
C83.1	C00-D49
M60.0	M00-M99
K25	K00-K95
N91.2	N00-N99
B78	A00-B99
D69.9	C00-D49
F01	F01-F99
Q76.6	Q00-Q99
K40	K00-K95
M30.1	M00-M99
E30.0	E00-E89
B54	A00-B99
B37.9	A00-B99
N76.0	N00-N99
M87.9	M00-M99
H16.4	H00-H59
H16.2	H00-H59
G00.1	G00-G99
F12	F01-F99
Q53.9	Q00-Q99
M21.2	M00-M99
C92	C00-D49
H81.9	H60-H95
M21.4	M00-M99
K31.6	K00-K95
K81.0	K00-K95
B55	A00-B99
G58.7	G00-G99
M05.3	M00-M99
D32.9	C00-D49
I67.5	I00-I99
F14.1	F01-F99
E27.2	E00-E89
I70.91	I00-I99
A28.0	A00-B99
K05.3	K00-K95
C38.0	C00-D49
L04	L00-L99
M48.1	M00-M99
K22.2	K00-K95
B76	A00-B99
N32.3	N00-N99
I89.0	I00-I99
E66.2	E00-E89
E21.2	E00-E89
C45.0	C00-D49
G46.3	G00-G99
H80	H60-H95
I67.2	I00-I99
G82	G00-G99
L20	L00-L99
B00.0	A00-B99
M79.7	M00-M99
C83.0	C00-D49
N41.1	N00-N99
M35	M00-M99
J02	J00-J99
H92.0	H60-H95
G24.3	G00-G99
C83.3	C00-D49
J30.1	J00-J99
N95.0	N00-N99
K63.9	K00-K95
L65.9	L00-L99
J64	J00-J99
I20.9	I00-I99
N25.0	N00-N99
A04.7	A00-B99
E54	E00-E89
D58.0	C00-D49
H26.4	H00-H59
J98.1	J00-J99
M31.7	M00-M99
E24.3	E00-E89
Q03.0	Q00-Q99
K91.1	K00-K95
K83.9	K00-K95
D06	C00-D49
K86.8	K00-K95
H83.0	H60-H95
K74.4	K00-K95
E78.2	E00-E89
L71	L00-L99
E88.1	E00-E89
H65.3	H60-H95
I49.8	I00-I99
J12.1	J00-J99
G80.3	G00-G99
F40.0	F01-F99
L57.0	L00-L99
L85.8	L00-L99
I87.8	I00-I99
O40	O00-O9A
B37	A00-B99
K76.0	K00-K95
I45.5	I00-I99
Q61.5	Q00-Q99
Q11.2	Q00-Q99
H10	H00-H59
K58	K00-K95
K59.9	K00-K95
G90.1	G00-G99
N30	N00-N99
H53	H00-H59
G83.4	G00-G99
D55.0	C00-D49
E83.1	E00-E89
Q61	Q00-Q99
M48.8	M00-M99
E13.8	E00-E89
K05.6	K00-K95
K22.4	K00-K95
E87.1	E00-E89
D00	C00-D49
G95.0	G00-G99
D02	C00-D49
K21	K00-K95
J30.0	J00-J99
L80	L00-L99
K14.6	K00-K95
Q25.0	Q00-Q99
Q21.1	Q00-Q99
G61.0	G00-G99
F44	F01-F99
G58.9	G00-G99
K12.0	K00-K95
S12.0	S00-T88
C90.3	C00-D49
F81.9	F01-F99
F41.1	F01-F99
E77	E00-E89
N17.1	N00-N99
R82.3	R00-R99
E88.2	E00-E89
I80	I00-I99
N48.3	N00-N99
D51	C00-D49
K14.0	K00-K95
T75.4	S00-T88
Q78.0	Q00-Q99
E53.0	E00-E89
A32	A00-B99
G47.8	G00-G99
K11.5	K00-K95
A54	A00-B99
A27.0	A00-B99
G03.0	G00-G99
C58	C00-D49
B45.1	A00-B99
B39	A00-B99
B26	A00-B99
E20.0	E00-E89
E50	E00-E89
C25.4	C00-D49
B67	A00-B99
I00	I00-I99
I01	I00-I99
I02	I00-I99
F52.9	F01-F99
G72.3	G00-G99
R48.8	R00-R99
D76.1	C00-D49
B83.9	A00-B99
E67.0	E00-E89
D55	C00-D49
E72.4	E00-E89
M43.6	M00-M99
A28.1	A00-B99
E83.2	E00-E89
J62.8	J00-J99
C18.6	C00-D49
D57.3	C00-D49
T79.1	S00-T88
I77.4	I00-I99
B66.3	A00-B99
C69.6	C00-D49
A90	A00-B99
K04.0	K00-K95
I89.1	I00-I99
K41	K00-K95
C20	C00-D49
M35.1	M00-M99
M75.3	M00-M99
F41.0	F01-F99
K50.0	K00-K95
G91.0	G00-G99
M06.1	M00-M99
K62.3	K00-K95
A07.2	A00-B99
E27.9	E00-E89
A06	A00-B99
D17.9	C00-D49
E25	E00-E89
L40.5	L00-L99
E27.5	E00-E89
J01	J00-J99
D21	C00-D49
I77.3	I00-I99
L98.0	L00-L99
E03.1	E00-E89
L68	L00-L99
M48.3	M00-M99
Q60.4	Q00-Q99
Q03.1	Q00-Q99
A36	A00-B99
J38.6	J00-J99
A07.1	A00-B99
M32.0	M00-M99
G57.1	G00-G99
M72.6	M00-M99
M89.4	M00-M99
A02.1	A00-B99
M93.9	M00-M99
G80.1	G00-G99
F63.3	F01-F99
I49.1	I00-I99
O14.1	O00-O9A
E78.6	E00-E89
G90.2	G00-G99
A46	A00-B99
M70.4	M00-M99
H83.9	H60-H95
C83.7	C00-D49
M94.0	M00-M99
J04.0	J00-J99
S12.8	S00-T88
N71	N00-N99
C62	C00-D49
M12.2	M00-M99
F10.2	F01-F99
O01	O00-O9A
H10.5	H00-H59
Q75.0	Q00-Q99
M06.3	M00-M99
C52	C00-D49
E85.4	E00-E89
A87.2	A00-B99
B51	A00-B99
A00	A00-B99
F39	F01-F99
Q91.7	Q00-Q99
D73.2	C00-D49
L12.1	L00-L99
T88.3	S00-T88
B44.7	A00-B99
G83.0	G00-G99
A87	A00-B99
Q28.2	Q00-Q99
M77.9	M00-M99
A42	A00-B99
R48.2	R00-R99
A53.0	A00-B99
D59.6	C00-D49
G03.1	G00-G99
K76.5	K00-K95
C23	C00-D49
N89.7	N00-N99
I07.0	I00-I99
Q61.1	Q00-Q99
Q87.3	Q00-Q99
D80.1	C00-D49
A37	A00-B99
A66	A00-B99
A01.4	A00-B99
H44.4	H00-H59
N91.0	N00-N99
Q79.8	Q00-Q99
J01.1	J00-J99
Q85.1	Q00-Q99
A75.9	A00-B99
Q25.3	Q00-Q99
B08.8	A00-B99
L10	L00-L99
K12.1	K00-K95
F16	F01-F99
G70.9	G00-G99
E34.0	E00-E89
J63.4	J00-J99
Q98.0	Q00-Q99
Q78.9	Q00-Q99
H70.0	H60-H95
I51.3	I00-I99
M89.3	M00-M99
B47	A00-B99
L94.0	L00-L99
C11.3	C00-D49
M85.5	M00-M99
N94.1	N00-N99
J01.2	J00-J99
Q44.2	Q00-Q99
D57.2	C00-D49
B85.0	A00-B99
K76.4	K00-K95
A52	A00-B99
A75.3	A00-B99
L74.4	L00-L99
K82.1	K00-K95
L01.0	L00-L99
C90.2	C00-D49
C18.2	C00-D49
D89.3	C00-D49
A78	A00-B99
G83.5	G00-G99
F84.0	F01-F99
L85.2	L00-L99
B77	A00-B99
B65.2	A00-B99
M21.02	M00-M99
G56.2	G00-G99
E50.7	E00-E89
C83.8	C00-D49
Q74.0	Q00-Q99
M31	M00-M99
J32.2	J00-J99
M70.6	M00-M99
H11.3	H00-H59
L93.0	L00-L99
H00.1	H00-H59
L63	L00-L99
G47.1	G00-G99
K76.3	K00-K95
D68.2	C00-D49
M72.2	M00-M99
